15	10	E	-6210697.7521561915	200
transitionprobs	11	6	4.952740593071891E-4
transitionprobs	11	7	6.409120798621391E-4
transitionprobs	11	8	0.002736939783981078
transitionprobs	11	9	0.004509848634541292
transitionprobs	11	10	0.03577861530078451
transitionprobs	11	11	0.9548868274808812
transitionprobs	11	12	3.863545100448659E-4
transitionprobs	11	13	2.1421419763705262E-4
transitionprobs	11	14	0.0
transitionprobs	11	15	3.4055243184968886E-4
transitionprobs	12	1	4.8742822439490395E-4
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	8.93227505642429E-4
transitionprobs	12	5	3.8051186716799327E-4
transitionprobs	12	6	0.0015395942044708875
transitionprobs	12	7	1.04480180097942E-4
transitionprobs	12	8	0.0021373364839797136
transitionprobs	12	9	0.003370599112192736
transitionprobs	12	10	0.007390485433052207
transitionprobs	12	11	0.015042667777332106
transitionprobs	12	12	0.7254544472582211
transitionprobs	12	13	0.24217603374809596
transitionprobs	12	14	0.0
transitionprobs	12	15	0.0010231882053521012
transitionprobs	13	1	1.319328865914126E-4
transitionprobs	13	2	0.0
transitionprobs	13	3	5.691305178741946E-6
transitionprobs	13	4	3.4547785176896475E-5
transitionprobs	13	5	0.0
transitionprobs	13	6	3.516449133059859E-4
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	3.437730954118998E-4
transitionprobs	13	10	0.003350483448933063
transitionprobs	13	11	9.727598611097068E-5
transitionprobs	13	12	0.004781002956764773
transitionprobs	13	13	0.9481905234260558
transitionprobs	13	14	0.04163897785377
transitionprobs	13	15	0.001074146342700352
transitionprobs	14	1	2.2785907893278112E-4
transitionprobs	14	2	1.0062025659293722E-5
transitionprobs	14	3	0.0
transitionprobs	14	4	1.1132343997828586E-4
transitionprobs	14	5	0.0
transitionprobs	14	6	9.693479895274979E-4
transitionprobs	14	7	0.0
transitionprobs	14	8	0.0
transitionprobs	14	9	0.0
transitionprobs	14	10	1.2070775727319819E-5
transitionprobs	14	11	0.0
transitionprobs	14	12	0.0
transitionprobs	14	13	0.0019993050315414867
transitionprobs	14	14	0.9945597481321986
transitionprobs	14	15	0.0021102835264348785
transitionprobs	15	1	0.0013920954667636868
transitionprobs	15	2	3.635116983077813E-4
